public_code,codique,name,type,region,district,commune,city,address,latitude,longitude,source_type,source_name,source_url,source_note,validation_status
100,DG-ANT,Direction Générale PAOMA,direction,Analamanga,Antananarivo Avaradrano,Antananarivo I,Antananarivo,"Rue de la Réunification",-18.9100,47.5360,demo_only,Démonstration KCI,,"Direction générale — données de démonstration uniquement",to_validate
101,AG-ANT-001,Agence Principale Analakely,agence_principale,Analamanga,Antananarivo Avaradrano,Antananarivo I,Antananarivo,"Rue de l'Indépendance",-18.9101,47.5361,demo_only,Démonstration KCI,,"Agence principale démo — à valider PAOMA",to_validate
102,AG-ANT-002,Agence Principale Andrefan'Ambohijanahary,agence_principale,Analamanga,Antananarivo Avaradrano,Antananarivo II,Antananarivo,"Avenue de l'Indépendance",-18.9200,47.5200,demo_only,Démonstration KCI,,"Agence démo — à valider PAOMA",to_validate
201,AG-TAM-001,Agence Principale Tamatave,agence_principale,Atsinanana,Toamasina I,Toamasina,Toamasina,"Boulevard Joffre",-18.1500,49.4000,demo_only,Démonstration KCI,,"Agence démo — à valider PAOMA",to_validate
202,AG-TAM-002,Bureau de Poste Tamatave Gare,bureau,Atsinanana,Toamasina I,Toamasina,Toamasina,"Avenue de la Gare",-18.1520,49.3980,demo_only,Démonstration KCI,,"Bureau démo — à valider PAOMA",to_validate
301,AG-FIA-001,Agence Principale Fianarantsoa,agence_principale,Haute Matsiatra,Fianarantsoa I,Fianarantsoa,Fianarantsoa,"Rue des Fleurs",-21.4530,47.0860,demo_only,Démonstration KCI,,"Agence démo — à valider PAOMA",to_validate
401,AG-MAH-001,Agence Principale Mahajanga,agence_principale,Boeny,Mahajanga I,Mahajanga,Mahajanga,"Boulevard Poincaré",-15.7160,46.3220,demo_only,Démonstration KCI,,"Agence démo — à valider PAOMA",to_validate
402,AG-MAH-002,Bureau de Poste Mahajanga Amborovy,bureau,Boeny,Mahajanga I,Mahajanga,Mahajanga,"Route d'Amborovy",-15.7000,46.3500,demo_only,Démonstration KCI,,"Bureau démo — à valider PAOMA",to_validate
501,AG-TOL-001,Agence Principale Toliara,agence_principale,Atsimo-Andrefana,Toliara I,Toliara,Toliara,"Rue de France",-23.3500,43.6700,demo_only,Démonstration KCI,,"Agence démo — à valider PAOMA",to_validate
601,AG-DIE-001,Agence Principale Diégo-Suarez,agence_principale,Diana,Antsiranana I,Antsiranana,Antsiranana,"Rue Colbert",-12.2800,49.2900,demo_only,Démonstration KCI,,"Agence démo — à valider PAOMA",to_validate
602,AG-DIE-002,Bureau de Poste Diego Joffreville,bureau,Diana,Antsiranana II,Joffreville,Joffreville,"Route Nationale 6",-12.5000,49.2100,demo_only,Démonstration KCI,,"Bureau démo — à valider PAOMA",to_validate
701,AG-TUL-001,Agence Secondaire Tuléar Mahavatse,agence_secondaire,Atsimo-Andrefana,Toliara II,Toliara,Toliara,"Quartier Mahavatse",-23.3700,43.6600,demo_only,Démonstration KCI,,"Agence secondaire démo — à valider PAOMA",to_validate
801,AG-ANT-003,Point Service Antananarivo Isotry,point_service,Analamanga,Antananarivo Avaradrano,Antananarivo IV,Antananarivo,"Marché Isotry",-18.9300,47.5100,demo_only,Démonstration KCI,,"Point service démo — à valider PAOMA",to_validate
901,GF-ANT-001,Guichet Financier Analakely,guichet_financier,Analamanga,Antananarivo Avaradrano,Antananarivo I,Antananarivo,"Rue de l'Indépendance",-18.9101,47.5362,demo_only,Démonstration KCI,,"Guichet financier démo — à valider PAOMA",to_validate
